cleaned_name,occurrences,correct_name
saopaulo,160720,Sao Paulo
riodejaneiro,62151,Rio De Janeiro
belohorizonte,27805,Belo Horizonte
curitiba,16593,Curitiba
portoalegre,13521,Porto Alegre
salvador,11866,Salvador
guarulhos,11340,Guarulhos
brasilia,10470,Brasilia
saobernardodocampo,9629,Sao Bernardo Do Campo
osasco,7658,Osasco
santoandre,6863,Santo Andre
niteroi,6534,Niteroi
recife,6168,Recife
goiania,5661,Goiania
fortaleza,5538,Fortaleza
campinas,5479,Campinas
sorocaba,5361,Sorocaba
ribeiraopreto,5010,Ribeirao Preto
santos,5000,Santos
barueri,4971,Barueri
juizdefora,4679,Juiz De Fora
contagem,4395,Contagem
campogrande,4332,Campo Grande
florianopolis,4148,Florianopolis
novaiguacu,4022,Nova Iguacu
mogidascruzes,3915,Mogi Das Cruzes
belem,3789,Belem
saojosedoscampos,3759,Sao Jose Dos Campos
saogoncalo,3601,Sao Goncalo
uberlandia,3520,Uberlandia
vitoria,3478,Vitoria
duquedecaxias,3444,Duque De Caxias
bauru,3270,Bauru
saojosedoriopreto,3190,Sao Jose Do Rio Preto
londrina,3144,Londrina
carapicuiba,3041,Carapicuiba
diadema,2986,Diadema
praiagrande,2952,Praia Grande
saocaetanodosul,2938,Sao Caetano Do Sul
joinville,2922,Joinville
camposdosgoytacazes,2840,Campos Dos Goytacazes
maua,2651,Maua
maringa,2514,Maringa
saoluis,2506,Sao Luis
blumenau,2450,Blumenau
caxiasdosul,2407,Caxias Do Sul
saocarlos,2332,Sao Carlos
cotia,2317,Cotia
voltaredonda,2300,Volta Redonda
taubate,2298,Taubate
suzano,2260,Suzano
taboaodaserra,2252,Taboao Da Serra
montesclaros,2229,Montes Claros
aracaju,2211,Aracaju
brasília,2180,Brasilia
betim,2176,Betim
natal,2171,Natal
joaopessoa,2169,Joao Pessoa
guaruja,2168,Guaruja
cuiaba,2142,Cuiaba
uberaba,2104,Uberaba
jundiai,2087,Jundiai
pelotas,2067,Pelotas
maceio,2053,Maceio
vilavelha,2048,Vila Velha
santamaria,2040,Santa Maria
franca,2005,Franca
indaiatuba,1999,Indaiatuba
petropolis,1999,Petropolis
manaus,1973,Manaus
canoas,1958,Canoas
araraquara,1903,Araraquara
santanadeparnaiba,1896,Santana De Parnaiba
saovicente,1884,Sao Vicente
macae,1853,Macae
feiradesantana,1846,Feira De Santana
teresina,1843,Teresina
governadorvaladares,1823,Governador Valadares
piracicaba,1774,Piracicaba
cascavel,1760,Cascavel
presidenteprudente,1753,Presidente Prudente
itaquaquecetuba,1733,Itaquaquecetuba
ipatinga,1685,Ipatinga
rioclaro,1682,Rio Claro
marilia,1650,Marilia
serra,1609,Serra
saojoaodemeriti,1547,Sao Joao De Meriti
saojose,1498,Sao Jose
embudasartes,1481,Embu Das Artes
pontagrossa,1477,Ponta Grossa
riogrande,1458,Rio Grande
itapevi,1400,Itapevi
novohamburgo,1398,Novo Hamburgo
jacarei,1397,Jacarei
cabofrio,1394,Cabo Frio
novafriburgo,1348,Nova Friburgo
passofundo,1338,Passo Fundo
riodasostras,1333,Rio Das Ostras
bragancapaulista,1330,Braganca Paulista
aracatuba,1330,Aracatuba
palmas,1321,Palmas
divinopolis,1312,Divinopolis
itajai,1270,Itajai
jaboataodosguararapes,1269,Jaboatao Dos Guararapes
atibaia,1254,Atibaia
portovelho,1251,Porto Velho
belfordroxo,1245,Belford Roxo
setelagoas,1242,Sete Lagoas
ferrazdevasconcelos,1241,Ferraz De Vasconcelos
americana,1222,Americana
botucatu,1206,Botucatu
barramansa,1206,Barra Mansa
saojosedospinhais,1206,Sao Jose Dos Pinhais
itu,1202,Itu
santoandré,1188,Santo Andre
pindamonhangaba,1169,Pindamonhangaba
sumare,1154,Sumare
saoleopoldo,1154,Sao Leopoldo
pousoalegre,1145,Pouso Alegre
patosdeminas,1141,Patos De Minas
jandira,1134,Jandira
ribeiraodasneves,1118,Ribeirao Das Neves
itapecericadaserra,1106,Itapecerica Da Serra
angradosreis,1087,Angra Dos Reis
ribeiraopires,1082,Ribeirao Pires
fozdoiguacu,1080,Foz Do Iguacu
francodarocha,1072,Franco Da Rocha
limeira,1072,Limeira
novalima,1069,Nova Lima
goiânia,1069,Goiania
pocosdecaldas,1053,Pocos De Caldas
gravatai,1048,Gravatai
teresopolis,1043,Teresopolis
hortolandia,1040,Hortolandia
caraguatatuba,1033,Caraguatatuba
araras,1033,Araras
niterói,1029,Niteroi
santaluzia,1027,Santa Luzia
vitoriadaconquista,998,Vitoria Da Conquista
resende,988,Resende
riobranco,982,Rio Branco
caieiras,965,Caieiras
conselheirolafaiete,965,Conselheiro Lafaiete
saosebastiao,964,Sao Sebastiao
itapetininga,958,Itapetininga
anapolis,938,Anapolis
chapeco,935,Chapeco
nilopolis,930,Nilopolis
lages,926,Lages
barbacena,913,Barbacena
varginha,913,Varginha
balneariocamboriu,913,Balneario Camboriu
cariacica,911,Cariacica
cachoeirodeitapemirim,911,Cachoeiro De Itapemirim
guaratingueta,908,Guaratingueta
mesquita,891,Mesquita
ubatuba,879,Ubatuba
catanduva,878,Catanduva
assis,871,Assis
cubatao,867,Cubatao
